1;Принципы программирования на основе платформы .Net Framework;1
2;Основные элементы программ (данные, выражения, операторы);1
3;Идентификаторы, лексемы, служебные слова;1
4;Типы данных;1
5;Операции;1
6;Переменные;1
7;Комментарии;1
8;Операторы;1
9;Организация ввода вывода. Форматирование при выводе;1
10;Массивы;1
11;Cтроки;1
12;Индексаторы;1
13;Методы как основа процедурного программирования;1
14;Рекурсия;1
15;Класс как контейнер статических членов;2
16;Класс как тип;2
17;Отношения между классами;2
18;Потоковый ввод-вывод;2
19;Визуальное проектирование приложений;2
20;Исключения;2
21;Виртуальные методы;2
22;Абстрактные классы;2
23;Интерфейсы;2
24;Перечисления и структуры – типы значений;2
25;Делегаты ;3
26;Cобытия и таймеры;3
27;Основы графики и работа с внешними устройствами ;3
28;Коллекции и параметризация библиотечных классов;3
29;Средства для работы с файловой системой ;3
30;Перегрузка операций;3
31;Анонимные методы;3
32;Лямбда-выражения;3
33;Обобщенное программирование;3
